datetime,src_ip,user,url,action,status,bytes
2026-01-29T10:00:00Z,10.0.1.7,user1@example.com,http://rare1.example.net/report,Allowed,200,65536
2026-01-29T10:00:01Z,10.0.9.109,user2@example.com,http://example.com/login,Allowed,200,1024
2026-01-29T10:00:02Z,10.0.8.155,user3@example.com,http://example.com/report,Allowed,200,16384
2026-01-29T10:00:03Z,10.0.9.72,user4@example.com,http://example.com/admin,Blocked,403,2048
2026-01-29T10:00:04Z,10.0.2.56,user5@example.com,http://cdn.example.com/home,Blocked,404,256
2026-01-29T10:00:05Z,10.0.5.217,user6@example.com,http://cdn.example.com/api/v1/items,Blocked,500,256
2026-01-29T10:00:06Z,10.0.6.21,user7@example.com,http://files.example.com/api/v1/items,Allowed,200,256
2026-01-29T10:00:07Z,10.0.0.170,user8@example.com,http://api.example.com/api/v1/items,Allowed,200,256
2026-01-29T10:00:08Z,10.0.6.72,user9@example.com,http://auth.example.com/download,Blocked,403,4096
2026-01-29T10:00:09Z,10.0.3.172,user10@example.com,http://cdn.example.com/home,Blocked,502,1024
2026-01-29T10:00:10Z,10.0.2.119,user11@example.com,http://auth.example.com/api/v1/items,Blocked,403,128
2026-01-29T10:00:11Z,10.0.3.211,user12@example.com,http://example.com/download,Blocked,401,256
2026-01-29T10:00:12Z,10.0.3.234,user13@example.com,http://files.example.com/download,Blocked,500,8192
2026-01-29T10:00:13Z,10.0.7.37,user14@example.com,http://cdn.example.com/admin,Blocked,502,2048
2026-01-29T10:00:14Z,10.0.9.110,user15@example.com,http://files.example.com/settings,Allowed,200,512
2026-01-29T10:00:15Z,10.0.8.127,user16@example.com,http://example.com/login,Allowed,200,512
2026-01-29T10:00:16Z,10.0.6.153,user17@example.com,http://example.com/settings,Blocked,500,2048
2026-01-29T10:00:17Z,10.0.8.221,user18@example.com,http://example.com/home,Blocked,403,256
2026-01-29T10:00:18Z,10.0.4.112,user19@example.com,http://api.example.com/billing,Blocked,401,512
2026-01-29T10:00:19Z,10.0.8.234,user20@example.com,http://example.com/api/v1/items,Allowed,200,4096
2026-01-29T10:00:20Z,10.0.2.139,user21@example.com,http://files.example.com/login,Blocked,500,128
2026-01-29T10:00:21Z,10.0.1.238,user22@example.com,http://cdn.example.com/api/v1/items,Allowed,200,1024
2026-01-29T10:00:22Z,10.0.9.243,user23@example.com,http://example.com/home,Allowed,200,512
2026-01-29T10:00:23Z,10.0.2.169,user24@example.com,http://auth.example.com/admin,Blocked,502,8192
2026-01-29T10:00:24Z,10.0.3.238,user25@example.com,http://files.example.com/report,Blocked,404,4096
2026-01-29T10:00:25Z,10.0.7.231,user26@example.com,http://files.example.com/billing,Allowed,200,1024
2026-01-29T10:00:26Z,10.0.1.87,user27@example.com,http://example.com/report,Allowed,200,256
2026-01-29T10:00:27Z,10.0.0.59,user28@example.com,http://example.com/login,Allowed,200,1024
2026-01-29T10:00:28Z,10.0.4.172,user29@example.com,http://auth.example.com/report,Blocked,500,1024
2026-01-29T10:00:29Z,10.0.7.207,user30@example.com,http://auth.example.com/report,Allowed,200,8192
2026-01-29T10:00:30Z,10.0.5.109,user31@example.com,http://auth.example.com/billing,Allowed,200,128
2026-01-29T10:00:31Z,10.0.6.187,user32@example.com,http://cdn.example.com/home,Allowed,200,1024
2026-01-29T10:00:32Z,10.0.8.115,user33@example.com,http://api.example.com/settings,Blocked,401,16384
2026-01-29T10:00:33Z,10.0.3.224,user34@example.com,http://example.com/billing,Allowed,200,128
2026-01-29T10:00:34Z,10.0.1.238,user35@example.com,http://api.example.com/admin,Blocked,500,16384
2026-01-29T10:00:35Z,10.0.3.222,user36@example.com,http://auth.example.com/login,Blocked,404,128
2026-01-29T10:00:36Z,10.0.6.68,user37@example.com,http://auth.example.com/api/v1/items,Blocked,502,16384
2026-01-29T10:00:37Z,10.0.2.49,user38@example.com,http://cdn.example.com/report,Blocked,502,128
2026-01-29T10:00:38Z,10.0.5.15,user39@example.com,http://example.com/billing,Allowed,200,256
2026-01-29T10:00:39Z,10.0.2.18,user40@example.com,http://files.example.com/home,Blocked,404,256
2026-01-29T10:00:40Z,10.0.9.64,user41@example.com,http://files.example.com/login,Blocked,404,4096
2026-01-29T10:00:41Z,10.0.4.53,user42@example.com,http://cdn.example.com/report,Blocked,404,512
2026-01-29T10:00:42Z,10.0.4.118,user43@example.com,http://cdn.example.com/home,Blocked,500,256
2026-01-29T10:00:43Z,10.0.1.138,user44@example.com,http://api.example.com/api/v1/items,Blocked,403,256
2026-01-29T10:00:44Z,10.0.3.95,user45@example.com,http://cdn.example.com/admin,Blocked,502,2048
2026-01-29T10:00:45Z,10.0.9.252,user46@example.com,http://files.example.com/login,Allowed,200,512
2026-01-29T10:00:46Z,10.0.4.30,user47@example.com,http://example.com/admin,Blocked,401,1024
2026-01-29T10:00:47Z,10.0.5.53,user48@example.com,http://cdn.example.com/billing,Allowed,200,256
2026-01-29T10:00:48Z,10.0.6.213,user49@example.com,http://cdn.example.com/login,Blocked,403,512
2026-01-29T10:00:49Z,10.0.4.42,user50@example.com,http://auth.example.com/settings,Allowed,200,256
2026-01-29T10:00:50Z,10.0.2.140,user1@example.com,http://example.com/download,Blocked,404,512
2026-01-29T10:00:51Z,10.0.0.79,user2@example.com,http://cdn.example.com/login,Allowed,200,1024
2026-01-29T10:00:52Z,10.0.1.91,user3@example.com,http://files.example.com/settings,Allowed,200,512
2026-01-29T10:00:53Z,10.0.2.226,user4@example.com,http://auth.example.com/login,Blocked,403,8192
2026-01-29T10:00:54Z,10.0.3.69,user5@example.com,http://api.example.com/home,Allowed,200,16384
2026-01-29T10:00:55Z,10.0.3.52,user6@example.com,http://auth.example.com/download,Allowed,200,1024
2026-01-29T10:00:56Z,10.0.0.169,user7@example.com,http://api.example.com/settings,Blocked,401,256
